rq_time,start,end,request_id,bt_c_0,bt_c_ivt,bt_c_gas,bt_t_0,bt_t_wk,bt_t_wt,bt_m_ivt,bt_f_ivt,bt_f_trfer,bt_t_fr
18028,103,282,0.0,0.0,0.06175122093621532,0.21671187492673344,0.3843469918452281,0.03265856572006079,0.11101043816269056,0.14850703167566104,0.12288920924500737,0.47551886441846497,0.4423232481836418
18037,777,145,1.0,0.0,0.23326589081143323,0.5425930706308086,0.4898853120631306,0.16290168662445376,0.0977973564045147,0.147030315172081,0.1389924807849762,0.5179857676338857,0.8892855171685852
18154,79,455,2.0,0.0,0.13880373171682134,1.0593963698675108,0.46541850341304825,0.23708942669121347,0.08839471609926947,0.14189039210335205,0.12748148212376023,0.5082573116427836,0.5437491304341354
18154,1022,283,3.0,0.0,0.12341566517400564,0.7997400924458726,0.45984627562859337,0.1353466078772969,0.029238866536766134,0.14389015036200825,0.07477967018655951,0.5115397036396897,1.037162412413274
18157,582,224,4.0,0.0,0.13435373951255053,0.3887680279733128,0.4534717667105551,0.11406796454774035,0.10782888519750468,0.13803186438111598,0.1366748410014781,0.4822212471081623,1.403691349139108
18206,552,436,5.0,0.0,0.08762561588992904,0.7402927403277328,0.4210560334536984,0.04232755035321634,0.1305090768562692,0.13459959532615057,0.12647058431136704,0.5151811234856335,0.2856097676381312
18210,557,486,6.0,0.0,0.13956772690606165,0.6631601332161815,0.4326350243895874,0.13643892994788365,0.08406881135944205,0.13799384185799704,0.11506651838925128,0.4920935988689779,0.5638338814441828
18242,759,235,7.0,0.0,0.13695238460889506,0.4563347738123228,0.3778633047511295,0.1826476799096887,0.06753604333053376,0.09825106460214786,0.06873295609826666,0.5105007460858006,0.05
18265,416,130,8.0,0.0,0.01,0.11367542854853274,0.43611499649037644,0.01,0.06189020219149907,0.12141446119526347,0.13014177658132867,0.5200721731578144,0.6248939474622648
18309,794,362,9.0,0.0,0.07651435772608065,0.5850134081333228,0.3938958407873371,0.2538107242333699,0.1094866077592557,0.16915719501630846,0.1272045392094166,0.5084000516799702,1.0103527361445837
18325,795,187,10.0,0.0,0.14086135225832352,0.36076013497662585,0.44303449290541835,0.21648430729315882,0.10846901087792103,0.14404103996341863,0.10092812244783869,0.5220565270595655,0.05
18382,223,553,11.0,0.0,0.11633446850069486,0.8984547496150245,0.524230245182831,0.4166742628510378,0.10737132580579538,0.10715230651388948,0.1714287531106239,0.5201315989366772,0.9307791936580354
18387,276,224,12.0,0.0,0.10835237781329522,0.6955762296467212,0.4907589436345496,0.16821875582864518,0.10798031643971892,0.1517089106107928,0.16653134560841662,0.502423910226742,0.2852263460985098
18392,163,299,13.0,0.0,0.12997987196927419,0.05,0.4418968741125668,0.14827323822990554,0.08714565086420421,0.08799584032526823,0.12758649227458246,0.4969522772194201,1.0850300608138235
18396,142,1039,14.0,0.0,0.14168531498510073,1.0017708084860455,0.40885907694007906,0.20798120576759205,0.11938446754319847,0.14321407849088744,0.10145758351811249,0.5203392471536119,0.2057424173028699
18404,1020,599,15.0,0.0,0.033482429073115674,0.5257562309037789,0.3592738815946239,0.14056827597331778,0.10617516940341529,0.1477872138751497,0.160380152990261,0.5152528982769529,0.5011907141686273
18410,396,306,16.0,0.0,0.15290540904404218,0.05,0.37668731257352905,0.12358453476296866,0.1127200272267534,0.11734367978480757,0.11579652512589998,0.5221204739747142,0.2476315810627251
18416,1085,708,17.0,0.0,0.12800296982957377,0.46614810084644026,0.48677005464926715,0.19433954031509973,0.11025861730469669,0.12293415131639086,0.09617398673275081,0.4988557910002662,0.3626586374424778
18421,872,841,18.0,0.0,0.13877434315554155,0.5584633885869821,0.44075717740188985,0.28317977406705325,0.11809882585692694,0.1126962466471147,0.10826533467601988,0.5097359275086542,0.05
18434,399,396,19.0,0.0,0.0681510930922848,1.0401838201323983,0.4404771654293666,0.01,0.11483821867930506,0.12934709398389105,0.10983605965518478,0.5333517039362706,0.27863991834847307
18462,620,866,20.0,0.0,0.20374614731148916,0.7952585841864348,0.4551408453814136,0.20371260161710456,0.14405395705543936,0.15135415379882136,0.16930713074533413,0.4963246002187502,0.660995400044368
18491,316,214,21.0,0.0,0.07082695203556055,0.5979269706880945,0.533776362059947,0.22690600588021995,0.10739534670655267,0.18391741015853594,0.14228158156374185,0.5145907707541046,0.33022602205027796
18549,716,501,22.0,0.0,0.1032869085054705,0.05,0.3787590041663075,0.16783568828028242,0.07279947264964323,0.1339262664130453,0.1275315092147583,0.49026590826753513,0.713966015493227
18622,159,315,23.0,0.0,0.12217789880424669,0.8634423984707504,0.410497167341629,0.1070229589518644,0.07638601161178026,0.188568251865547,0.10207662968671104,0.5091150961285182,0.16809897631124632
18625,519,283,24.0,0.0,0.12465692653770959,0.05,0.4402731453088992,0.020689044252057476,0.08954783808856512,0.15383307277192035,0.10190757506880194,0.5072136312514334,0.32505559889377933
18649,741,80,25.0,0.0,0.07528890304066915,0.05,0.47937750469207746,0.183801606913276,0.13343167440024373,0.1413847595534381,0.083590233871009,0.4958751961083254,0.715598724121272
18667,798,53,26.0,0.0,0.22130060118273442,0.7702182311741872,0.4542521438508873,0.14250609092272273,0.09687029535181882,0.14820433833604038,0.14468040326263706,0.48870666977765426,0.4592241866602662
18672,1021,119,27.0,0.0,0.07216931052920877,1.0640892598217069,0.4468716798582109,0.01,0.13323194274668548,0.15073628407866538,0.1404106665185948,0.49870309001041796,0.8564375486792293
